Time,Hari 1 - FO,Hari 2 - FO,Hari 3 - FO
2023-07-07 9:08:13,34.09,24.62,29.01
2023-07-07 9:08:15,24.38,25.1,29.61
2023-07-07 9:08:18,26.93,20.5,26.37
2023-07-07 9:08:20,32.02,76.67,28.05
2023-07-07 9:08:23,25.81,21.02,27.13
2023-07-07 9:08:25,30.27,100.02,25.62
2023-07-07 9:08:28,27.62,04.02,32.81
2023-07-07 9:08:30,27.64,22.1,26.38
2023-07-07 9:08:33,150.55,50.35,51.71
2023-07-07 9:08:35,25.19,25.89,37.51
2023-07-07 9:08:38,31.01,29.91,29.64
2023-07-07 9:08:40,31.28,25.91,25.38
2023-07-07 9:08:43,26.45,27.35,26.16
2023-07-07 9:08:45,30.08,24.25,27.01
2023-07-07 9:08:48,25.84,26.97,28.39
2023-07-07 9:08:50,25.63,30.61,29.16
2023-07-07 9:08:53,25.32,29.93,28.98
2023-07-07 9:08:55,24.41,27.83,26.05
2023-07-07 9:08:58,31.56,23.87,26.8
2023-07-07 9:09:00,27.2,25.74,25.62
2023-07-07 9:09:03,25.76,172.84,31.26
2023-07-07 9:09:05,24.89,36.32,38.88
2023-07-07 9:09:08,24.71,48.93,29.01
2023-07-07 9:09:10,24.62,44.73,26.72
2023-07-07 9:09:13,28.99,178.06,25.71
2023-07-07 9:09:15,24.8,25.84,25.77
2023-07-07 9:09:18,25.4,40.06,26.06
2023-07-07 9:09:20,40.82,27.5,26.9
2023-07-07 9:09:23,24.71,24.6,36.36
2023-07-07 9:09:25,25.3,31.81,
2023-07-07 9:09:28,25.47,28.75,25.1
2023-07-07 9:09:30,24.6,25.72,40.8
2023-07-07 9:09:33,26.88,27.34,25.3
2023-07-07 9:09:35,28.16,33.98,47.51
2023-07-07 9:09:38,29.68,30.76,27.69
2023-07-07 9:09:40,27.64,27.22,26.22
2023-07-07 9:09:43,24.53,26.38,26.29
2023-07-07 9:09:45,25.17,25.35,26.74
2023-07-07 9:09:48,24.88,25.34,30.52
2023-07-07 9:09:50,24.78,79.81,59.25
2023-07-07 9:09:53,24.4,46.74,26.49
2023-07-07 9:09:55,33.94,27.62,46.3
2023-07-07 9:09:58,46.05,63.85,26.66
2023-07-07 9:10:00,27.85,34.76,25.09
2023-07-07 9:10:03,31.15,83.55,43.45
2023-07-07 9:10:05,26.68,61.6,98.6
2023-07-07 9:10:08,25.32,80.04,94.6
2023-07-07 9:10:10,25.36,30.77,27.95
2023-07-07 9:10:13,44.63,25.41,32.37
2023-07-07 9:10:15,27,25.59,46.22
2023-07-07 9:10:18,28.68,29.47,27.6
2023-07-07 9:10:20,38.03,26.16,28.04
2023-07-07 9:10:23,24.57,66.48,35.97
2023-07-07 9:10:25,25.18,27.66,26.06
2023-07-07 9:10:28,35.66,26.76,27.94
2023-07-07 9:10:30,35.96,26.49,25.55
2023-07-07 9:10:33,25.36,25.49,33.51
2023-07-07 9:10:35,41.2,26.57,47.06
2023-07-07 9:10:38,26.36,28.28,27.48
2023-07-07 9:10:40,25.8,24.31,29.05
2023-07-07 9:10:43,27.11,62,27.43
2023-07-07 9:10:45,30.55,24.43,26.12
2023-07-07 9:10:48,25.76,27.27,25.37
2023-07-07 9:10:50,24.72,25.91,25.97
2023-07-07 9:10:53,25.84,29.39,26.98
2023-07-07 9:10:55,25.04,26.63,26.38
2023-07-07 9:10:58,34.63,54.97,28.66
